Maker, Genmodel, Genmodel_ID,Adv_year,Adv_month,Color,Reg_year,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price,Seat_num,Door_num,issue,issue_id,Adv_day,breakdown_date,repair_complexity,repair_cost,repair_hours,repair_date
Bentley,Arnage,10_1,2018,4,Silver,2000.0,Saloon,60000,6.8L,Automatic,Petrol,21500.0,5.0,4.0,Electrical Issue,4,12,2018-04-12,3,184.5,6.0,2018-04-13
Bentley,Arnage,10_1,2018,6,Grey,2002.0,Saloon,44000,6.8L,Automatic,Petrol,28750.0,5.0,4.0,Brake Pads Worn,0,10,2018-06-10,3,134.375,6.0,2018-06-11
Bentley,Arnage,10_1,2017,11,Blue,2002.0,Saloon,55000,6.8L,Automatic,Petrol,29999.0,5.0,4.0,Flat Tyres,0,2,2017-11-02,3,68.9997,3.0,2017-11-02
Bentley,Arnage,10_1,2018,4,Green,2003.0,Saloon,14000,6.8L,Automatic,Petrol,34948.0,5.0,4.0,Gear Box Issue,0,27,2018-04-27,3,469.48,6.0,2018-04-28
Bentley,Arnage,10_1,2017,11,Grey,2003.0,Saloon,61652,6.8L,Automatic,Petrol,26555.0,5.0,4.0,Electrical Issue,4,23,2017-11-23,3,199.66500000000002,6.0,2017-11-24
Bentley,Arnage,10_1,2017,12,Blue,2002.0,Saloon,55000,6.8L,Automatic,Petrol,24950.0,5.0,4.0,Flat Tyres,0,7,2017-12-07,3,67.485,3.0,2017-12-07
Bentley,Arnage,10_1,2018,8,Green,2002.0,Saloon,67000,6.8L,Automatic,Petrol,29995.0,5.0,4.0,Windscreen Crack,0,15,2018-08-15,3,77.997,3.0,2018-08-15
Bentley,Arnage,10_1,2018,4,Black,2003.0,Saloon,99200,6.8L,Automatic,Petrol,22450.0,5.0,4.0,Radiator Leaking,0,1,2018-04-01,3,569.0,6.0,2018-04-02
Bentley,Arnage,10_1,2018,2,Silver,2003.0,Saloon,27541,6.8L,Automatic,Petrol,26990.0,4.0,4.0,Radiator Leaking,0,9,2018-02-09,3,659.8,6.0,2018-02-10
Bentley,Arnage,10_1,2017,11,Silver,2003.0,Saloon,38000,6.8L,Automatic,Petrol,29995.0,5.0,4.0,Engine Issue,2,21,2017-11-21,3,23801.92097015141,48.0,2017-12-03
Bentley,Arnage,10_1,2018,3,Green,2003.0,Saloon,69491,6.8L,Automatic,Petrol,23995.0,5.0,4.0,Tyre Alignment,0,5,2018-03-05,3,32.3995,1.5,2018-03-05
Bentley,Arnage,10_1,2018,6,Silver,2002.0,Saloon,52000,6.8L,Automatic,Petrol,26990.0,5.0,4.0,Engine Issue,4,8,2018-06-08,3,1949.5,30.0,2018-06-15
Bentley,Arnage,10_1,2018,4,Silver,2000.0,Saloon,53444,6.8L,Automatic,Petrol,21995.0,5.0,4.0,Warning Light,0,27,2018-04-27,3,759.95,27.0,2018-05-03
Bentley,Arnage,10_1,2018,7,Blue,2002.0,Saloon,58000,6.8L,Automatic,Petrol,25950.0,5.0,4.0,Starter Motor Issue,0,18,2018-07-18,3,439.5,9.0,2018-07-20
Bentley,Arnage,10_1,2018,4,Black,2000.0,Saloon,61500,6.7L,Automatic,Petrol,16500.0,20.0,0.0,Flat Tyres,0,16,2018-04-16,3,64.95,3.0,2018-04-16
Bentley,Arnage,10_1,2017,12,Blue,2000.0,Saloon,49700,4.4L,Automatic,Petrol,29500.0,5.0,4.0,Tyre Alignment,0,19,2017-12-19,3,32.95,1.5,2017-12-19
Bentley,Arnage,10_1,2018,2,Gelb,2003.0,Saloon,35000,6.8L,Automatic,Petrol,35000.0,16.0,0.0,Brake Pads Worn,0,22,2018-02-22,3,137.5,6.0,2018-02-23
Bentley,Arnage,10_1,2018,4,White,2000.0,Saloon,75000,6.8L,Automatic,Petrol,17995.0,5.0,4.0,Tyre Alignment,0,23,2018-04-23,3,31.799500000000002,1.5,2018-04-23
Bentley,Arnage,10_1,2018,4,Grey,2003.0,Saloon,48226,6.8L,Automatic,Petrol,33950.0,5.0,4.0,Tyre Alignment,0,16,2018-04-16,3,33.395,1.5,2018-04-16
Bentley,Arnage,10_1,2018,4,Blue,2003.0,Saloon,92000,6.8L,Automatic,Petrol,25995.0,5.0,0.0,Steering Wheel Shaking,0,16,2018-04-16,3,404.65588997202013,305.8490082360678,2018-07-01
Bentley,Arnage,10_1,2018,4,Silver,2003.0,Saloon,60000,6.8L,Automatic,Petrol,26995.0,5.0,4.0,Starter Motor Issue,0,5,2018-04-05,3,449.95,9.0,2018-04-07
Bentley,Arnage,10_1,2017,3,Blue,2002.0,Saloon,51789,6.8L,Automatic,Petrol,26990.0,5.0,4.0,Sensor Malfunction,0,10,2017-03-10,3,1529.5,9.0,2017-03-12
Bentley,Arnage,10_1,2017,7,Blue,2003.0,Saloon,77000,6.8L,Automatic,Petrol,29750.0,5.0,4.0,Warning Light,0,4,2017-07-04,3,837.5,27.0,2017-07-10
Bentley,Arnage,10_1,2018,4,White,2003.0,Saloon,75000,6.8L,Automatic,Petrol,16500.0,5.0,4.0,Electrical Issue,3,3,2018-04-03,3,142.5,3.0,2018-04-03
Bentley,Arnage,10_1,2018,5,Blue,2002.0,Saloon,49968,6.8L,Automatic,Petrol,29950.0,5.0,4.0,Warning Light,0,18,2018-05-18,3,839.5,27.0,2018-05-24
Bentley,Arnage,10_1,2017,5,Silver,2000.0,Saloon,98000,6.8L,Automatic,Petrol,17945.0,5.0,4.0,Warning Light,0,16,2017-05-16,3,719.45,27.0,2017-05-22
Bentley,Arnage,10_1,2018,3,Green,2000.0,Saloon,30000,6.8L,Automatic,Petrol,29950.0,5.0,4.0,Radiator Leaking,0,3,2018-03-03,3,719.0,6.0,2018-03-04
Bentley,Arnage,10_1,2017,11,Silver,2003.0,Saloon,40000,6.8L,Automatic,Petrol,31950.0,5.0,4.0,Tyre Alignment,0,16,2017-11-16,3,33.195,1.5,2017-11-16
Bentley,Arnage,10_1,2017,11,Blue,2000.0,Saloon,46000,6.8L,Automatic,Petrol,21950.0,5.0,4.0,Electrical Issue,3,27,2017-11-27,3,169.75,3.0,2017-11-27
Bentley,Arnage,10_1,2018,6,Green,2002.0,Saloon,47225,6.8L,Automatic,Petrol,24995.0,5.0,4.0,Steering Wheel Shaking,0,17,2018-06-17,3,259.28400497246076,3.0,2018-06-17
